site_code,location_type,lat,long,begin_date,begin_date_month,begin_date_year,end_date,end_date_month,end_date_year
7-11A,PASS,33.432140000000004,-112.08593,,,,,,
7-11B,PASS,33.43461,-112.08698000000001,,,,,,
7-11C,PASS,33.4358,-112.0923,,,,,,
AA-17,ESCA,33.45215242,-111.80062691,,,,,,
AA-20,ESCA,33.31575447,-111.82392055,,,,2016-05-12,5.0,2016.0
AA-9,PASS,33.7227922235445,-111.831559366856,,,,,,
AA-9B,PASS,33.65827,-111.88552,,,,,,
AA-9C,PASS,33.66616,-111.88956,,,,,,
AB-19,ESCA,33.351620000000004,-111.77363999999999,,,,,,
AB-19,ESCA,33.35172934,-111.77360147,,,,2016-05-12,5.0,2016.0
AC-16,ESCA,33.47893705,-111.71943351,,,,2016-05-03,5.0,2016.0
AD-10,ESCA,33.67689447,-111.71140004,,,,,,
AD-21,ESCA,33.30702446,-111.70294153,,,,2016-05-05,5.0,2016.0
AE-23,ESCA,33.21869957,-111.62649983,,,,,,
AF-12,ESCA,33.6102352,-111.62201023,,,,,,
Ave35_dwn_B1,SRBP,33.4119291,-112.13486343,,1.0,2013.0,2018-01-30,1.0,2018.0
Ave35_dwn_B1,SRBP,33.411954576149505,-112.134755216538,2018-04-02,4.0,2018.0,,,
Ave67_dwn_B1,SRBP,33.39764256,-112.20402578,,4.0,2016.0,,,
Ave67_dwn_B1,SRBP,33.39840573,-112.20603568,,1.0,2013.0,,3.0,2016.0
Ave67_mid_B1,SRBP,33.39764256,-112.20402578,,1.0,2013.0,,3.0,2016.0
Ave67_mid_B1,SRBP,33.39613692,-112.20127241,,4.0,2016.0,,,
BM_mid_B2,SRBP,33.38249101,-112.30335401,,1.0,2013.0,,,
DBG,desert_fertilization,33.457159999999995,-111.94313000000001,,,,,,
EE-15A,riparian,33.384492699999996,-111.94664729,,,,2016-05-09,5.0,2016.0
EE-6A,riparian,33.61083702,-112.25106619,,,,2016-04-21,4.0,2016.0
EE-7C,riparian,33.60987126,-112.10832196,,,,2016-05-02,5.0,2016.0
EMP,desert_fertilization,33.362770000000005,-112.37363,2018-01-06,,,,,
EN-4B,riparian,33.73959387,-112.68089849,,,,2016-04-04,4.0,2016.0
EN-7B,riparian,33.81620287,-111.97260135,,,,2016-05-04,5.0,2016.0
F-8,ESCA,33.75598493,-112.74192461,,,,,,
G-15,ESCA,33.49892344,-112.67365342,,,,,,
I-11,ESCA,33.65442124,-112.61775501,,,,,,
I-17,ESCA,33.44059202,-112.57693338,,,,,,
IBWA,PASS,33.47343,-111.91157,,,,,,
IBWB,PASS,33.47124,-111.91148000000001,,,,,,
IBWC,PASS,33.4696,-111.91415,,,,,,
L-7,ESCA,33.78130347,-112.45220396,,,,2016-05-02,5.0,2016.0
M-16,ESCA,33.4826731750001,-112.444002161,,,,2016-04-30,4.0,2016.0
M-9,ESCA,33.7231006287547,-112.440622368419,,,,,8.0,2001.0
N-12,ESCA,33.62205905,-112.37598673,,,,,,
NDV-C,NDV,33.31217213,-111.67760412,,,,2016-05-05,5.0,2016.0
