survey_id,site_code,location_type,survey_date,time_start,time_end,observer,wind_speed,wind_dir,air_temp,cloud_cover,survey_notes,human_activity_notes,wind,precipitation,disturbances,sight_obstruct,noise_level,site_condition,non_bird_species,additional_bird_observations
30,U-13,ESCA,2000-06-06,06:40:00,06:55:00,DiSt,8.0,,27.0,0.0,600 m.,,,none,False,,,,,
29,U-13,ESCA,2000-06-06,06:15:00,06:30:00,DiSt,0.0,,27.0,0.0,200 m.,,,,False,,,,,
121,AD-10,ESCA,2000-08-03,07:35:00,07:50:00,BeRa,8.0,NE,32.0,10.0,Harris Antelope Squirrels.,,,,False,,,,,
112,AF-12,ESCA,2000-08-03,08:40:00,08:55:00,DiSt,8.0,S,34.0,20.0,BTSPs seen and heard after count.,,,,False,,,,,
119,W-6,ESCA,2000-08-04,08:30:00,08:45:00,BeRa,0.0,,35.0,0.0,,,,,False,,,,,
113,X-8,ESCA,2000-08-04,07:30:00,07:45:00,DiSt,8.0,,29.0,40.0,,,,,False,,,,,
114,W-17,ESCA,2000-08-09,08:15:00,08:30:00,DiSt,8.0,,24.0,70.0,"SE, E, NE views blocked by buildings.",,,,False,,,,,
115,AD-10,ESCA,2000-08-15,08:10:00,08:25:00,DiSt,8.0,,32.0,40.0,,,,,False,,,,,
126,Y-19,ESCA,2000-08-18,08:25:00,08:40:00,BeRa,8.0,NW,29.0,80.0,Tiny yards.,,,,False,,,,,
120,AD-21,ESCA,2000-08-18,06:05:00,06:20:00,BeRa,0.0,,24.0,90.0,Traffic noise.,,,,False,,,,,
124,AA-20,ESCA,2000-08-18,06:50:00,07:05:00,BeRa,0.0,,27.0,90.0,Traffic problem.,,,,False,,,,,
125,AB-19,ESCA,2000-08-18,09:05:00,09:20:00,BeRa,8.0,SE,29.0,70.0,Tiny yards.,,,,False,,,,,
118,W-15,ESCA,2000-08-21,08:55:00,09:15:00,DiSt,8.0,,32.0,75.0,,,,,False,,,,,
117,V-13,ESCA,2000-08-21,08:25:00,08:40:00,DiSt,8.0,,29.0,85.0,,,,,False,,,,,
116,V-14,ESCA,2000-08-21,07:45:00,08:00:00,DiSt,0.0,,29.0,90.0,,,,,False,,,,,
110,T-11,ESCA,2000-08-23,08:40:00,08:55:00,DiSt,0.0,,29.0,70.0,,,,,False,,,,,
109,T-13,ESCA,2000-08-23,08:05:00,08:20:00,DiSt,0.0,,27.0,70.0,,,,,False,,,,,
111,U-12,ESCA,2000-08-23,09:15:00,09:30:00,DiSt,8.0,,32.0,70.0,,,,,False,,,,,
128,Z-23,ESCA,2000-08-25,06:20:00,06:35:00,BeRa,8.0,NE,24.0,10.0,,,,,False,,,,,
127,AE-23,ESCA,2000-08-25,07:05:00,07:20:00,BeRa,0.0,,27.0,10.0,Agriculture.,,,,False,,,,,
122,AA-17,ESCA,2000-08-29,07:10:00,07:25:00,BeRa,16.0,SE,27.0,90.0,Traffic and yard work noise.,,,,False,,,,,
123,AC-16,ESCA,2000-08-29,06:30:00,06:45:00,BeRa,8.0,SE,24.0,75.0,Air traffic noise.,,,,False,,,,,
181,V-13,ESCA,2000-10-03,06:55:00,07:10:00,BeRa,0.0,,24.0,5.0,School courtyard.,,,,False,,,,,
183,W-15,ESCA,2000-10-03,08:20:00,08:35:00,BeRa,0.0,,29.0,5.0,Large lots residential.,,,,False,,,,,
182,V-14,ESCA,2000-10-03,07:25:00,07:40:00,BeRa,0.0,,27.0,5.0,School bus stop.,,,,False,,,,,
163,U-13,ESCA,2000-10-05,08:55:00,09:10:00,BeRa,0.0,,27.0,5.0,Desert foothill.,,,,False,,,,,
161,T-11,ESCA,2000-10-05,07:40:00,07:55:00,BeRa,0.0,,24.0,5.0,Small lots and yards.,,,,False,,,,,
160,T-13,ESCA,2000-10-05,07:05:00,07:20:00,BeRa,8.0,,24.0,5.0,,,,,False,,,,,
164,R-12,ESCA,2000-10-05,09:35:00,09:50:00,BeRa,8.0,,29.0,5.0,Horse ranch.,,,,False,,,,,
162,U-12,ESCA,2000-10-05,08:15:00,08:30:00,BeRa,0.0,,27.0,5.0,Next to park.,,,,False,,,,,
139,EE-7C,riparian,2000-10-07,09:15:00,09:30:00,DiSt,8.0,,27.0,20.0,,,,,False,,,,,
133,U-12,ESCA,2000-10-07,08:35:00,08:50:00,DiSt,8.0,,27.0,20.0,,,,,False,,,,,
132,PE-13A,riparian,2000-10-07,07:55:00,08:10:00,DiSt,0.0,,24.0,10.0,,,,,False,,,,,
136,T-11,ESCA,2000-10-11,08:55:00,09:10:00,DiSt,8.0,,21.0,10.0,NE view partially blocked by house and fence.,,,,False,,,,,
137,T-13,ESCA,2000-10-11,08:10:00,08:25:00,DiSt,8.0,,21.0,20.0,"Views in most directions partially blocked by houses.  Many HOSP and HOFI heard in all quadrants, possibly 20 and 20.",,,,False,,,,,
177,V-16,ESCA,2000-10-12,07:45:00,08:00:00,BeRa,0.0,,21.0,0.0,Hardware store parking lot.,,,,False,,,,,
176,W-17,ESCA,2000-10-12,08:55:00,09:10:00,BeRa,0.0,,21.0,0.0,Buildings and parking lot.  Air traffic.,,,,False,,,,,
140,R-12,ESCA,2000-10-12,09:35:00,09:50:00,DiSt,0.0,,21.0,10.0,100 EUST all directions and distances.,,,,False,,,,,
180,Y-19,ESCA,2000-10-12,09:25:00,09:40:00,BeRa,8.0,E,21.0,5.0,Small lots.,,,,False,,,,,
179,X-18,ESCA,2000-10-12,07:00:00,07:15:00,BeRa,0.0,,18.0,0.0,ASU campus.,,,,False,,,,,
178,S-16,ESCA,2000-10-12,08:15:00,08:30:00,BeRa,0.0,,21.0,0.0,Parking lot.,,,,False,,,,,
135,V-14,ESCA,2000-10-13,08:15:00,08:30:00,DiSt,0.0,,16.0,0.0,,,,,False,,,,,
138,V-16,ESCA,2000-10-13,08:45:00,09:00:00,DiSt,0.0,,18.0,0.0,,,,,False,,,,,
134,W-17,ESCA,2000-10-13,09:25:00,09:40:00,DiSt,8.0,,18.0,0.0,"Views to N, NE, E, SE blocked by buildings.  Jet and industrial noise.",,,,False,,,,,
141,U-13,ESCA,2000-10-14,08:20:00,08:35:00,DiSt,0.0,,10.0,0.0,WESJ in bushes near parking lot after count completed.,,,,False,,,,,
144,S-16,ESCA,2000-10-17,07:55:00,08:10:00,DiSt,0.0,,16.0,0.0,,,,,False,,,,,
145,V-18,ESCA,2000-10-17,09:25:00,09:40:00,DiSt,8.0,,21.0,0.0,,,,,False,,,,,
146,T-19,ESCA,2000-10-17,08:40:00,08:55:00,DiSt,8.0,,18.0,0.0,,,,,False,,,,,
170,T-19,ESCA,2000-10-17,09:10:00,09:25:00,BeRa,8.0,E,21.0,0.0,Cotton field.  Irrigation.,,,,False,,,,,
171,P-18,ESCA,2000-10-17,07:55:00,08:10:00,BeRa,0.0,,18.0,0.0,,,,,False,,,,,
173,P-16,ESCA,2000-10-17,07:20:00,07:35:00,BeRa,0.0,,18.0,0.0,Avondale.  Residential.,,,,False,,,,,
220,EE-7C,riparian,2000-10-17,06:44:00,06:59:00,JoLe,0.0,,17.0,0.0,City of Phoenix parks truck drove through center of the plot while counting birds.,,,,False,,,,,
221,R-12,ESCA,2000-10-17,09:00:00,09:25:00,JoLe,6.0,SE,21.0,0.0,,,,,False,,,,,
234,U-12,ESCA,2000-10-17,07:44:00,07:59:00,JoLe,0.0,,19.0,0.0,,,,,False,,,,,
236,EE-6A,riparian,2000-10-18,08:00:00,08:15:00,JoLe,0.0,,20.0,50.0,,,,,False,,,,,
155,AB-19,ESCA,2000-10-18,09:40:00,09:55:00,BeRa,8.0,,21.0,40.0,Small yards.  Yard work.,,,,False,,,,,
156,AA-20,ESCA,2000-10-18,09:10:00,09:25:00,BeRa,0.0,,21.0,40.0,Traffic.,,,,False,,,,,
174,AD-21,ESCA,2000-10-18,06:50:00,07:05:00,BeRa,8.0,,18.0,40.0,Alfalfa fields.  Traffic.,,,,False,,,,,
175,Z-23,ESCA,2000-10-18,08:35:00,08:50:00,BeRa,0.0,,21.0,40.0,Fallow field next to shopping center.,,,,False,,,,,
152,AE-23,ESCA,2000-10-18,07:30:00,07:45:00,BeRa,0.0,,18.0,40.0,Cotton field.,,,,False,,,,,
239,T-13,ESCA,2000-10-18,06:55:00,07:10:00,JoLe,0.0,,20.0,75.0,,,,,False,,,,,
237,T-11,ESCA,2000-10-18,09:15:00,09:30:00,JoLe,5.0,SE,23.0,30.0,,,,,False,,,,,
153,AD-10,ESCA,2000-10-19,07:30:00,07:45:00,BeRa,8.0,NE,18.0,75.0,Mcdowell Mountain Park.,,,,False,,,,,
154,AF-12,ESCA,2000-10-19,09:00:00,09:15:00,BeRa,16.0,NE,18.0,75.0,Desert.,,,,False,,,,,
240,V-13,ESCA,2000-10-20,08:35:00,08:50:00,JoLe,0.0,,21.0,0.0,Foot traffic increased last five min. of count.  Many  students in court way.,,,,False,,,,,
157,AC-16,ESCA,2000-10-20,06:40:00,06:55:00,BeRa,16.0,NE,16.0,5.0,Helicopter.,,,,False,,,,,
158,AA-17,ESCA,2000-10-20,07:15:00,07:30:00,BeRa,8.0,NE,16.0,5.0,Traffic.,,,,False,,,,,
241,V-14,ESCA,2000-10-20,07:55:00,08:15:00,JoLe,0.0,,18.0,0.0,,,,,False,,,,,
242,PE-13A,riparian,2000-10-20,06:55:00,07:10:00,JoLe,0.0,,16.0,0.0,,,,,False,,,,,
238,U-13,ESCA,2000-10-20,09:50:00,10:05:00,JoLe,3.0,S,23.0,0.0,,,,,False,,,,,
244,W-17,ESCA,2000-10-21,08:25:00,08:40:00,JoLe,0.0,,18.0,40.0,,,,,False,,,,,
143,P-16,ESCA,2000-10-21,08:35:00,08:50:00,DiSt,8.0,,21.0,80.0,Views all directions partly blocked by houses.,,,,False,,,,,
142,P-18,ESCA,2000-10-21,09:10:00,09:30:00,DiSt,16.0,,24.0,80.0,Lots of Sulfur Butterflies.,,,,False,,,,,
243,V-16,ESCA,2000-10-21,09:19:00,09:34:00,JoLe,5.0,N,21.0,50.0,,,,,False,,,,,
245,W-15,ESCA,2000-10-21,07:15:00,07:32:00,JoLe,3.0,,17.0,40.0,,,,,False,,,,,
246,M-9,ESCA,2000-10-24,08:48:00,09:03:00,JoLe,0.0,,18.0,10.0,,,,,False,,,,,
248,O-9,ESCA,2000-10-24,07:45:00,08:00:00,JoLe,0.0,,14.0,10.0,,,,,False,,,,,
247,L-7,ESCA,2000-10-24,10:16:00,10:31:00,JoLe,8.0,SE,20.0,10.0,Ending time was 10:31 AM.,,,,False,,,,,
